zipcode,zone
00705,12b
00610,12b
00612,13a
00601,11b
00602,12b
00603,13a
00703,12b
00704,13a
07675,7a
07677,7a
07885,6b
07981,7a
07999,7a
08889,7a
07095,7b
07481,7a
10451,7b
10452,7b
10453,7b
10454,7b
10455,7b
10456,7b
10457,7b
10458,7b
10459,7b
10460,7b
10461,7b
10462,7b
10463,7b
10464,7b
10465,7b
10466,7b
10467,7b
10468,7b
10469,7b
10470,7b
10471,7b
10472,7b
10473,7b
10474,7b
10475,7b
10001,7b
10002,7b
10003,7b
10004,7b
10005,7b
10006,7b
10007,7b
10009,7b
10010,7b
10011,7b
10012,7b
10013,7b
10014,7b
10016,7b
10017,7b
10018,7b
10019,7b
10020,7b
10021,7b
10022,7b
10023,7b
10024,7b
10025,7b
10026,7b
10027,7b
10028,7b
10029,7b
10030,7b
10031,7b
10032,7b
10033,7b
10034,7b
00714,13a
00616,12b
00617,13a
00794,12a
00622,13a
00623,12b
00627,13a
00729,13a
00979,13b
00982,13b
00983,13b
00985,13a
00987,13a
00736,12b
00739,12b
00769,12b
00782,12b
00783,12b
00659,13a
00660,12b
00791,13a
00662,13a
00664,12a
00795,12b
00777,12b
00728,13a
00725,12b
00727,12b
00735,13b
00638,12b
00780,12b
00646,13a
00647,13a
00738,13a
00650,12b
00652,13a
00653,13a
00784,13a
00656,13a
00965,13b
00966,13a
00968,13a
00969,13a
00971,13a
00778,12b
00667,13a
00669,12b
00670,12b
00771,13a
00934,13a
00772,13a
00773,13a
00674,13a
00606,12b
00707,13a
00680,12b
00682,13a
00715,13a
00676,12b
00687,12b
00718,13a
00719,12b
00720,12a
00723,13a
00624,12b
00716,13a
00717,13a
00730,12b
00731,12b
00740,13a
00741,13a
00678,13a
00677,13a
00745,13a
00637,12b
00688,12b
00952,13a
00751,13a
00690,13a
00683,12b
00901,13b
00907,13b
00909,13b
00911,13b
00912,13b
00913,13b
00915,13a
00917,13a
00918,13a
00920,13a
00921,13a
00923,13a
00924,13a
00925,13a
00926,13a
00927,13a
00956,12b
00957,13a
00959,13a
02478,6b
02445,6b
02446,6b
02420,6b
02421,6b
02492,6b
02494,6b
02458,6b
02459,6b
02460,6b
02461,6b
02462,6b
02464,6b
02465,6b
02466,6b
00961,13a
00962,13b
00976,13a
00754,12b
00685,12b
00757,13a
00953,13a
00949,13a
00641,12a
00692,13a
00693,13a
00765,13a
00766,12b
00767,13a
00698,12b
02467,6b
02468,6b
02451,6b
02452,6b
02453,6b
02472,6b
02481,6b
02482,6b
02493,6b
02184,6b
02186,6b
02169,6b
02170,7a
02171,7a
02188,6b
02189,7a
02190,6b
02191,7a
01718,6a
01719,6a
01720,6b
02474,6b
02476,6b
02150,7a
02149,7a
02152,7a
02151,7a
02148,6b
02176,6b
02155,6b
02143,7a
02144,6b
02145,7a
02180,6b
01913,6a
01810,6b
02054,6b
01529,6b
02554,7b
01760,6b
01531,6a
01950,6b
01951,6b
01952,6b
02056,6b
02351,6b
01862,6b
01532,6b
01534,6b
01535,6a
02650,7b
01863,6b
02356,6b
02556,7a
01536,6b
01537,6a
01864,6b
01430,6a
01431,6a
01721,6b
01501,6a
02322,6b
01432,6a
01434,6a
01436,5b
02630,7a
01730,6b
01731,6b
02019,6b
01503,6b
01915,6b
01821,6b
01504,6b
01740,6b
02108,7a
02109,7a
02110,7a
02111,7a
02113,7a
02114,7a
02115,7a
02116,7a
02118,7a
02119,7a
02120,7a
02121,6b
02122,7a
02124,6b
02125,7a
02126,6b
02127,7a
02128,7a
02129,7a
02130,6b
02131,6b
02132,6b
02133,7a
02134,6b
02135,6b
02136,6b
02163,6b
02199,6b
02203,7a
02210,7a
02215,6b
02222,7a
02283,7a
02284,7a
01921,6b
01505,6a
02631,7b
02324,6b
02301,6b
02302,6b
01506,6a
01803,6b
02532,7a
02542,7a
01922,6b
02138,6b
02139,6b
02140,6b
02141,7a
02142,7a
02021,6b
01741,6b
02330,6b
02632,7a
01507,6b
02633,7b
01824,6b
02535,7b
01510,6a
02025,7a
01742,6b
02635,7a
02061,7a
02062,6b
02557,7a
02653,7b
02655,7a
01540,6b
01960,6b
02359,6b
01463,6a
02360,7a
02367,6b
02559,7a
01541,6a
02657,7b
02368,6b
01867,6b
01542,6b
02370,6b
01966,7a
01969,6b
01543,6a
02562,7a
01970,7a
02563,7a
02066,7a
02067,6b
01770,6b
01464,6a
01545,6a
01745,6b
01772,6b
01550,6b
02659,7b
02660,7a
02375,6b
01560,6b
01982,6b
02071,6b
02664,7a
